id,date,happy
1327,9/27/2019 18:55,0
1328,9/27/2019 18:55,0
1329,9/27/2019 18:55,0
1330,9/27/2019 18:55,0
1331,9/27/2019 18:55,0
1332,9/27/2019 18:55,0
1333,9/27/2019 18:55,0
1334,9/27/2019 18:55,0
1335,9/27/2019 18:55,0
1336,9/27/2019 18:55,0
1337,9/27/2019 18:55,0
1338,9/27/2019 18:55,0
1339,9/27/2019 18:55,0
1340,9/27/2019 18:55,0
1341,9/27/2019 18:55,0
1342,9/27/2019 18:55,0
1343,9/27/2019 18:55,0
1344,9/27/2019 18:55,0
1345,9/27/2019 18:55,0
1346,9/27/2019 18:55,0
1347,9/27/2019 18:55,0
1348,9/27/2019 18:55,0
1349,9/27/2019 18:55,0
1350,9/27/2019 18:55,0
1351,9/27/2019 18:56,0
1352,9/27/2019 18:56,0
1353,9/27/2019 18:56,0
1354,9/27/2019 18:56,0
1355,9/27/2019 18:56,0
1356,9/27/2019 18:56,0
1357,9/27/2019 18:56,0
1358,9/27/2019 18:56,0
1359,9/27/2019 18:56,0
1360,9/27/2019 18:56,0
1361,9/27/2019 18:56,0
1362,9/27/2019 18:56,0
1363,9/27/2019 18:56,0
1364,9/27/2019 18:56,0
1365,9/27/2019 18:56,0
1366,9/27/2019 18:56,0
1367,9/27/2019 18:56,0
1368,9/27/2019 18:56,0
1369,9/27/2019 18:56,0
1370,9/27/2019 18:56,0
1371,9/27/2019 18:56,0
1372,9/27/2019 18:56,0
1373,9/27/2019 18:56,0
1374,9/27/2019 18:56,0
1375,9/27/2019 18:56,0
1376,9/27/2019 18:56,0
1377,9/27/2019 18:56,0
1378,9/27/2019 18:56,0
1379,9/27/2019 18:56,0
1380,9/27/2019 18:56,0
1381,9/27/2019 18:56,1
1382,9/27/2019 18:56,1
1383,9/27/2019 18:57,1
1384,9/27/2019 18:57,0
1385,9/27/2019 18:57,1
1386,9/27/2019 18:57,1
1387,9/27/2019 18:57,0
1388,9/27/2019 18:57,1
1389,9/27/2019 18:57,0
1390,9/27/2019 18:57,1
1391,9/27/2019 18:57,0
